trace,distribution,bin,count,fraction,threshold,fraction_at_or_above_threshold,variant
435.gromacs-111B,confidence,4,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,5,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,6,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,7,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,8,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,9,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,10,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,11,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,12,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,13,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,14,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,15,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,0,0,0.0,8,,SetAssociativeWAM
435.gromacs-111B,confidence,1,10,1.0,8,,SetAssociativeWAM
435.gromacs-111B,confidence,2,0,0.0,8,,SetAssociativeWAM
435.gromacs-111B,confidence,3,0,0.0,8,,SetAssociativeWAM
435.gromacs-111B,confidence,4,0,0.0,8,,SetAssociativeWAM
435.gromacs-111B,confidence,5,0,0.0,8,,SetAssociativeWAM
435.gromacs-111B,confidence,6,0,0.0,8,,SetAssociativeWAM
435.gromacs-111B,confidence,7,0,0.0,8,,SetAssociativeWAM
435.gromacs-111B,confidence,8,0,0.0,8,,SetAssociativeWAM
435.gromacs-111B,confidence,9,0,0.0,8,,SetAssociativeWAM
435.gromacs-111B,confidence,10,0,0.0,8,,SetAssociativeWAM
435.gromacs-111B,confidence,11,0,0.0,8,,SetAssociativeWAM
435.gromacs-111B,confidence,12,0,0.0,8,,SetAssociativeWAM
435.gromacs-111B,confidence,13,0,0.0,8,,SetAssociativeWAM
435.gromacs-111B,confidence,14,0,0.0,8,,SetAssociativeWAM
435.gromacs-111B,confidence,15,0,0.0,8,,SetAssociativeWAM
447.dealII-3B,confidence,0,0,0.0,8,0.0,DirectMappedWAM
447.dealII-3B,confidence,1,17,0.9444444444444444,8,0.0,DirectMappedWAM
447.dealII-3B,confidence,2,1,0.05555555555555555,8,0.0,DirectMappedWAM
447.dealII-3B,confidence,3,0,0.0,8,0.0,DirectMappedWAM
447.dealII-3B,confidence,4,0,0.0,8,0.0,DirectMappedWAM
447.dealII-3B,confidence,5,0,0.0,8,0.0,DirectMappedWAM
447.dealII-3B,confidence,6,0,0.0,8,0.0,DirectMappedWAM
447.dealII-3B,confidence,7,0,0.0,8,0.0,DirectMappedWAM
447.dealII-3B,confidence,8,0,0.0,8,0.0,DirectMappedWAM
447.dealII-3B,confidence,9,0,0.0,8,0.0,DirectMappedWAM
447.dealII-3B,confidence,10,0,0.0,8,0.0,DirectMappedWAM
447.dealII-3B,confidence,11,0,0.0,8,0.0,DirectMappedWAM
447.dealII-3B,confidence,12,0,0.0,8,0.0,DirectMappedWAM
447.dealII-3B,confidence,13,0,0.0,8,0.0,DirectMappedWAM
447.dealII-3B,confidence,14,0,0.0,8,0.0,DirectMappedWAM
447.dealII-3B,confidence,15,0,0.0,8,0.0,DirectMappedWAM
447.dealII-3B,confidence,0,0,0.0,8,,SetAssociativeWAM
447.dealII-3B,confidence,1,19,1.0,8,,SetAssociativeWAM
447.dealII-3B,confidence,2,0,0.0,8,,SetAssociativeWAM
447.dealII-3B,confidence,3,0,0.0,8,,SetAssociativeWAM
447.dealII-3B,confidence,4,0,0.0,8,,SetAssociativeWAM
447.dealII-3B,confidence,5,0,0.0,8,,SetAssociativeWAM
447.dealII-3B,confidence,6,0,0.0,8,,SetAssociativeWAM
447.dealII-3B,confidence,7,0,0.0,8,,SetAssociativeWAM
447.dealII-3B,confidence,8,0,0.0,8,,SetAssociativeWAM
447.dealII-3B,confidence,9,0,0.0,8,,SetAssociativeWAM
447.dealII-3B,confidence,10,0,0.0,8,,SetAssociativeWAM
447.dealII-3B,confidence,11,0,0.0,8,,SetAssociativeWAM
447.dealII-3B,confidence,12,0,0.0,8,,SetAssociativeWAM
447.dealII-3B,confidence,13,0,0.0,8,,SetAssociativeWAM
