workload,predictor,trial,mode,threshold,alpha,top_k,total_accesses,l1_hit_rate,l2_hit_rate,l3_hit_rate,dram_access_rate,total_cycles,raw_memory_cycles,average_memory_latency,average_access_latency,top1_accuracy,topk_accuracy,prediction_attempts,prefetch_requests,prefetches_issued,prefetches_completed,dropped_prefetches,useful_prefetches,late_prefetches,unused_prefetches,duplicate_prefetches,prefetch_precision,prefetch_coverage,bandwidth_bytes,pollution_misses,cache_evictions_caused_by_prefetching,predictor_lookup_overhead,predictor_update_overhead,prefetch_overhead,latency_saved_by_useful_prefetches,net_latency_benefit,entries,nodes,edges,counters,weights,estimated_bytes,bytes_per_transition,speedup_over_none,speedup_over_nextline,speedup_over_stride,speedup_over_markov
Probabilistic,WAM depth=1,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,995,436,4.0,9.128440366972477,0.8990825688073395,1.0,109,146,4,4,0,4,3,0,142,1.0,1.0,32,0,0,109,0,4,146,146,4,5,4,4,4,96,24.0,1.0251256281407035,0.9979899497487437,1.1346733668341709,1.0
Probabilistic,WAM depth=2,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1104,436,4.0,10.128440366972477,0.8990825688073395,1.0,109,146,4,4,0,4,3,0,142,1.0,1.0,32,0,0,218,0,4,146,146,9,10,9,9,9,216,24.0,0.9239130434782609,0.8994565217391305,1.022644927536232,0.9012681159420289
Probabilistic,WAM depth=3,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1213,436,4.0,11.128440366972477,0.8990825688073395,1.0,109,146,4,4,0,4,3,0,142,1.0,1.0,32,0,0,327,0,4,146,146,15,16,15,15,15,360,24.0,0.8408903544929925,0.8186314921681781,0.9307502061005771,0.8202802967848309
Probabilistic,WAM depth=4,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1322,436,4.0,12.128440366972477,0.8990825688073395,1.0,109,146,4,4,0,4,3,0,142,1.0,1.0,32,0,0,436,0,4,146,146,23,24,23,23,23,552,24.0,0.7715582450832073,0.7511346444780636,0.8540090771558245,0.7526475037821483
Probabilistic,WAM depth=8,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1758,436,4.0,16.128440366972477,0.8990825688073395,1.0,109,146,4,4,0,4,3,0,142,1.0,1.0,32,0,0,872,0,4,146,146,81,82,81,81,81,1944,24.0,0.5802047781569966,0.5648464163822525,0.6422070534698521,0.5659840728100114
PhaseChanging,None,0,train_test,0.05,0.25,3,109,0.9724770642201835,0.0,0.0,0.027522935779816515,874,874,8.01834862385321,8.01834862385321,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.131578947368421,1.1247139588100687,1.139588100686499
PhaseChanging,NextLine,0,train_test,0.05,0.25,3,109,0.981651376146789,0.0,0.0,0.01834862385321101,989,728,6.678899082568807,9.073394495412844,0.3394495412844037,0.3394495412844037,109,109,3,3,0,1,1,2,106,0.3333333333333333,0.3333333333333333,24,0,0,109,0,3,0,-2,0,0,0,0,0,0,0.0,0.8837209302325582,1.0,0.993933265925177,1.0070778564206269
PhaseChanging,Stride,0,train_test,0.05,0.25,3,109,0.9724770642201835,0.0,0.0,0.027522935779816515,983,874,8.01834862385321,9.01834862385321,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,109,0,0,0,0,1,1,1,1,0,16,16.0,0.8891149542217701,1.0061037639877926,1.0,1.0132248219735505
PhaseChanging,Markov-1,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,996,436,4.0,9.137614678899082,0.6697247706422018,1.0,109,145,4,4,0,3,3,1,141,0.75,1.0,32,0,0,109,0,4,0,-1,6,5,6,6,6,144,24.0,0.8775100401606426,0.9929718875502008,0.9869477911646586,1.0
PhaseChanging,WAM depth=1,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,996,436,4.0,9.137614678899082,0.6697247706422018,1.0,109,145,4,4,0,3,3,1,141,0.75,1.0,32,0,0,109,0,4,0,-1,5,6,5,5,5,120,24.0,0.8775100401606426,0.9929718875502008,0.9869477911646586,1.0
PhaseChanging,WAM depth=2,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1104,436,4.0,10.128440366972477,1.0,1.0,109,109,3,3,0,3,3,0,106,1.0,1.0,24,0,0,218,0,3,0,0,11,12,11,11,11,264,24.0,0.7916666666666666,0.8958333333333334,0.8903985507246377,0.9021739130434783
PhaseChanging,WAM depth=3,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1213,436,4.0,11.128440366972477,1.0,1.0,109,109,3,3,0,3,3,0,106,1.0,1.0,24,0,0,327,0,3,0,0,18,19,18,18,18,432,24.0,0.720527617477329,0.8153338829348722,0.8103874690849134,0.8211046990931574
PhaseChanging,WAM depth=4,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1322,436,4.0,12.128440366972477,1.0,1.0,109,109,3,3,0,3,3,0,106,1.0,1.0,24,0,0,436,0,3,0,0,26,27,26,26,26,624,24.0,0.6611195158850227,0.7481089258698941,0.74357034795764,0.7534039334341907
PhaseChanging,WAM depth=8,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1758,436,4.0,16.128440366972477,1.0,1.0,109,109,3,3,0,3,3,0,106,1.0,1.0,24,0,0,872,0,3,0,0,68,69,68,68,68,1632,24.0,0.49715585893060293,0.5625711035267349,0.5591581342434585,0.5665529010238908
Random,None,0,train_test,0.05,0.25,3,109,0.06422018348623854,0.009174311926605505,0.0,0.926605504587156,15190,15190,139.3577981651376,139.3577981651376,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.9955892034233048,1.0071757735352205,0.990388413429888
Random,NextLine,0,train_test,0.05,0.25,3,109,0.07339449541284404,0.027522935779816515,0.0,0.8990825688073395,15123,14768,135.4862385321101,138.74311926605503,0.009174311926605505,0.009174311926605505,109,109,97,96,0,3,1,94,12,0.030927835051546393,0.0297029702970297,776,5,68,109,0,97,292,263,0,0,0,0,0,0,0.0,1.00443033789592,1.0,1.0116379025325664,0.9947761687495867
Random,Stride,0,train_test,0.05,0.25,3,109,0.06422018348623854,0.009174311926605505,0.0,0.926605504587156,15299,15190,139.3577981651376,140.3577981651376,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,38,109,0,0,0,0,1,1,1,1,0,16,16.0,0.9928753513301523,0.9884959801294202,1.0,0.9833322439375123
Random,Markov-1,0,train_test,0.05,0.25,3,109,0.07339449541284404,0.01834862385321101,0.0,0.908256880733945,15044,14906,136.75229357798165,138.0183486238532,0.0,0.0,25,29,29,29,0,2,0,27,0,0.06896551724137931,0.019801980198019802,232,0,52,109,0,29,292,279,250,219,250,250,250,6000,24.0,1.0097048657272003,1.005251262961978,1.016950279181069,1.0
Random,WAM depth=1,0,train_test,0.05,0.25,3,109,0.07339449541284404,0.01834862385321101,0.0,0.908256880733945,15044,14906,136.75229357798165,138.0183486238532,0.0,0.0,25,29,29,29,0,2,0,27,0,0.06896551724137931,0.019801980198019802,232,0,52,109,0,29,292,279,219,220,219,219,219,5256,24.0,1.0097048657272003,1.005251262961978,1.016950279181069,1.0
Random,WAM depth=2,0,train_test,0.05,0.25,3,109,0.06422018348623854,0.009174311926605505,0.0,0.926605504587156,15409,15190,139.3577981651376,141.36697247706422,0.0,0.0,1,1,1,1,0,0,0,1,0,0.0,0.0,8,0,39,218,0,1,0,-1,468,469,468,468,468,11232,24.0,0.9857875267700694,0.9814394185216432,0.9928613148160166,0.9763125446167824
Random,WAM depth=3,0,train_test,0.05,0.25,3,109,0.06422018348623854,0.009174311926605505,0.0,0.926605504587156,15518,15190,139.3577981651376,142.36697247706422,0.0,0.0,1,1,1,1,0,0,0,1,0,0.0,0.0,8,0,39,327,0,1,0,-1,714,715,714,714,714,17136,24.0,0.978863255574172,0.9745456888774326,0.9858873566181209,0.9694548266529192
Random,WAM depth=4,0,train_test,0.05,0.25,3,109,0.06422018348623854,0.009174311926605505,0.0,0.926605504587156,15627,15190,139.3577981651376,143.36697247706422,0.0,0.0,1,1,1,1,0,0,0,1,0,0.0,0.0,8,0,39,436,0,1,0,-1,958,959,958,958,958,22992,24.0,0.972035579445831,0.9677481282395853,0.9790106866321111,0.9626927753247584
Random,WAM depth=8,0,train_test,0.05,0.25,3,109,0.06422018348623854,0.009174311926605505,0.0,0.926605504587156,16063,15190,139.3577981651376,147.36697247706422,0.0,0.0,1,1,1,1,0,0,0,1,0,0.0,0.0,8,0,39,872,0,1,0,-1,1914,1915,1914,1914,1914,45936,24.0,0.9456514972296582,0.9414804208429309,0.9524372782170205,0.9365622859988794
Sequential,None,1,train_test,0.05,0.25,3,109,0.0,0.0,0.0,1.0,16350,16350,150.0,150.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0333333333333334,1.0333333333333334,1.0066666666666666
Sequential,NextLine,1,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,16895,436,4.0,155.0,1.0,1.0,109,109,109,109,0,109,109,0,0,1.0,1.0,872,0,45,109,0,109,0,0,0,0,0,0,0,0,0.0,0.967741935483871,1.0,1.0,0.9741935483870968
