workload,selector,granularity,windows,speedup,selected_gmc_fraction,selected_wam_fraction,selector_bytes,lookup_cycles,update_traffic,overhead_cycles,wam_activation_rate,selection_note
binary_tree_size65536_seed0_loads,WindowOracle,per_access,3,1.2072914087645457,0.0,1.0,128,3,6,3,1.0,per_access uses finest available replay window as a conservative proxy
binary_tree_size65536_seed1_loads,WindowOracle,per_access,3,1.2072914087645457,0.0,1.0,128,3,6,3,1.0,per_access uses finest available replay window as a conservative proxy
binary_tree_size65536_seed2_loads,WindowOracle,per_access,3,1.077332607935336,0.0,1.0,128,3,6,3,1.0,per_access uses finest available replay window as a conservative proxy
binary_tree_size65536_seed3_loads,WindowOracle,per_access,3,1.0348089102789058,0.0,1.0,128,3,6,3,1.0,per_access uses finest available replay window as a conservative proxy
binary_tree_size65536_seed4_loads,WindowOracle,per_access,3,1.1053904630269522,0.3333333333333333,0.6666666666666666,128,3,6,3,0.6666666666666666,per_access uses finest available replay window as a conservative proxy
graph_bfs_size65536_seed0_loads,WindowOracle,per_access,3,1.2163678949221561,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
graph_bfs_size65536_seed1_loads,WindowOracle,per_access,3,1.2163678949221561,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
graph_bfs_size65536_seed2_loads,WindowOracle,per_access,3,1.2163678949221561,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
graph_bfs_size65536_seed3_loads,WindowOracle,per_access,3,1.2163678949221561,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
graph_bfs_size65536_seed4_loads,WindowOracle,per_access,3,1.2163678949221561,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
graph_dfs_size16384_seed0_loads,WindowOracle,per_access,3,1.0456940548990759,0.0,1.0,128,3,6,3,1.0,per_access uses finest available replay window as a conservative proxy
graph_dfs_size16384_seed1_loads,WindowOracle,per_access,3,1.0456940548990759,0.0,1.0,128,3,6,3,1.0,per_access uses finest available replay window as a conservative proxy
graph_dfs_size16384_seed2_loads,WindowOracle,per_access,3,1.0456940548990759,0.0,1.0,128,3,6,3,1.0,per_access uses finest available replay window as a conservative proxy
graph_dfs_size16384_seed3_loads,WindowOracle,per_access,3,1.0456940548990759,0.0,1.0,128,3,6,3,1.0,per_access uses finest available replay window as a conservative proxy
graph_dfs_size16384_seed4_loads,WindowOracle,per_access,3,1.0456940548990759,0.0,1.0,128,3,6,3,1.0,per_access uses finest available replay window as a conservative proxy
hash_table_size65536_seed0_loads,WindowOracle,per_access,3,0.9998908992187877,0.6666666666666666,0.3333333333333333,128,3,6,3,0.3333333333333333,per_access uses finest available replay window as a conservative proxy
hash_table_size65536_seed1_loads,WindowOracle,per_access,3,0.9998908992187877,0.6666666666666666,0.3333333333333333,128,3,6,3,0.3333333333333333,per_access uses finest available replay window as a conservative proxy
hash_table_size65536_seed2_loads,WindowOracle,per_access,3,0.9999821712830309,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
hash_table_size65536_seed3_loads,WindowOracle,per_access,3,0.9997413334009586,0.6666666666666666,0.3333333333333333,128,3,6,3,0.3333333333333333,per_access uses finest available replay window as a conservative proxy
hash_table_size65536_seed4_loads,WindowOracle,per_access,3,0.9999231041323839,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
linked_list_size65536_seed0_loads,WindowOracle,per_access,3,4.017857142857143,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
linked_list_size65536_seed1_loads,WindowOracle,per_access,3,4.017857142857143,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
linked_list_size65536_seed2_loads,WindowOracle,per_access,3,4.017857142857143,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
linked_list_size65536_seed3_loads,WindowOracle,per_access,3,4.017857142857143,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
linked_list_size65536_seed4_loads,WindowOracle,per_access,3,4.017857142857143,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
matrix_scan_size512_seed0_loads,WindowOracle,per_access,3,2.2738886050076648,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
pointer_chase_size65536_seed0_loads,WindowOracle,per_access,3,1.3322913759419481,0.0,1.0,128,3,6,3,1.0,per_access uses finest available replay window as a conservative proxy
pointer_chase_size65536_seed1_loads,WindowOracle,per_access,3,1.3322913759419481,0.0,1.0,128,3,6,3,1.0,per_access uses finest available replay window as a conservative proxy
pointer_chase_size65536_seed2_loads,WindowOracle,per_access,3,1.4889440892617176,0.0,1.0,128,3,6,3,1.0,per_access uses finest available replay window as a conservative proxy
pointer_chase_size65536_seed3_loads,WindowOracle,per_access,3,1.3461657870226638,0.3333333333333333,0.6666666666666666,128,3,6,3,0.6666666666666666,per_access uses finest available replay window as a conservative proxy
pointer_chase_size65536_seed4_loads,WindowOracle,per_access,3,2.3987204549493515,0.0,1.0,128,3,6,3,1.0,per_access uses finest available replay window as a conservative proxy
quicksort_size65536_seed0_loads,WindowOracle,per_access,3,1.027635876392262,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
quicksort_size65536_seed1_loads,WindowOracle,per_access,3,1.027635876392262,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
quicksort_size65536_seed2_loads,WindowOracle,per_access,3,1.968449044128216,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
quicksort_size65536_seed3_loads,WindowOracle,per_access,3,1.4187677408582402,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
quicksort_size65536_seed4_loads,WindowOracle,per_access,3,1.2208004761196252,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
stride_size524288_seed0_loads,WindowOracle,per_access,3,7.216494845360825,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
binary_tree_size65536_seed0_loads,ConfidenceSelector,100,3,1.1155275950814985,1.0,0.0,192,30,60,30,0.0,block-granular replay
binary_tree_size65536_seed1_loads,ConfidenceSelector,100,3,1.1155275950814985,1.0,0.0,192,30,60,30,0.0,block-granular replay
binary_tree_size65536_seed2_loads,ConfidenceSelector,100,3,1.0767677160002331,0.0,1.0,192,30,60,30,1.0,block-granular replay
binary_tree_size65536_seed3_loads,ConfidenceSelector,100,3,1.0170315502488216,1.0,0.0,192,30,60,30,0.0,block-granular replay
binary_tree_size65536_seed4_loads,ConfidenceSelector,100,3,1.0943767372247166,0.0,1.0,192,30,60,30,1.0,block-granular replay
graph_bfs_size65536_seed0_loads,ConfidenceSelector,100,3,1.2162673507999584,1.0,0.0,192,30,60,30,0.0,block-granular replay
graph_bfs_size65536_seed1_loads,ConfidenceSelector,100,3,1.2162673507999584,1.0,0.0,192,30,60,30,0.0,block-granular replay
graph_bfs_size65536_seed2_loads,ConfidenceSelector,100,3,1.2162673507999584,1.0,0.0,192,30,60,30,0.0,block-granular replay
graph_bfs_size65536_seed3_loads,ConfidenceSelector,100,3,1.2162673507999584,1.0,0.0,192,30,60,30,0.0,block-granular replay
graph_bfs_size65536_seed4_loads,ConfidenceSelector,100,3,1.2162673507999584,1.0,0.0,192,30,60,30,0.0,block-granular replay
graph_dfs_size16384_seed0_loads,ConfidenceSelector,100,3,1.0027601167538205,1.0,0.0,192,30,60,30,0.0,block-granular replay
graph_dfs_size16384_seed1_loads,ConfidenceSelector,100,3,1.0027601167538205,1.0,0.0,192,30,60,30,0.0,block-granular replay
graph_dfs_size16384_seed2_loads,ConfidenceSelector,100,3,1.0027601167538205,1.0,0.0,192,30,60,30,0.0,block-granular replay
graph_dfs_size16384_seed3_loads,ConfidenceSelector,100,3,1.0027601167538205,1.0,0.0,192,30,60,30,0.0,block-granular replay
graph_dfs_size16384_seed4_loads,ConfidenceSelector,100,3,1.0027601167538205,1.0,0.0,192,30,60,30,0.0,block-granular replay
hash_table_size65536_seed0_loads,ConfidenceSelector,100,3,0.9995206415793972,1.0,0.0,192,30,60,30,0.0,block-granular replay
hash_table_size65536_seed1_loads,ConfidenceSelector,100,3,0.9995206415793972,1.0,0.0,192,30,60,30,0.0,block-granular replay
hash_table_size65536_seed2_loads,ConfidenceSelector,100,3,0.9999134093293808,1.0,0.0,192,30,60,30,0.0,block-granular replay
hash_table_size65536_seed3_loads,ConfidenceSelector,100,3,0.9995765666400436,1.0,0.0,192,30,60,30,0.0,block-granular replay
hash_table_size65536_seed4_loads,ConfidenceSelector,100,3,0.9998539079620161,1.0,0.0,192,30,60,30,0.0,block-granular replay
linked_list_size65536_seed0_loads,ConfidenceSelector,100,3,4.014272970561998,1.0,0.0,192,30,60,30,0.0,block-granular replay
