workload,category,window,window_index,agreement_rate,disagreement_rate,only_gmc_rate,only_wam_rate,wam_wins_disagreements,gmc_wins_disagreements,both_wrong_disagreements,joint_predictions
graph_dfs_size16384_seed3_loads,graph,1000,1,0.5102040816326531,0.4897959183673469,0.0,0.935,0,0,49,49
graph_dfs_size16384_seed3_loads,graph,1000,2,0.5,0.5,0.0,0.914,0,0,70,70
graph_dfs_size16384_seed4_loads,graph,100,0,0.5,0.5,0.0,0.78,0,0,6,6
graph_dfs_size16384_seed4_loads,graph,100,1,0.5,0.5,0.0,0.8,0,0,4,4
graph_dfs_size16384_seed4_loads,graph,100,2,0.5,0.5,0.0,0.78,0,0,6,6
graph_dfs_size16384_seed4_loads,graph,500,0,0.4827586206896552,0.5172413793103449,0.0,0.91,0,0,29,29
graph_dfs_size16384_seed4_loads,graph,500,1,0.48148148148148145,0.5185185185185185,0.0,0.914,0,0,27,27
graph_dfs_size16384_seed4_loads,graph,500,2,0.48,0.52,0.0,0.918,0,0,25,25
graph_dfs_size16384_seed4_loads,graph,1000,0,0.5161290322580645,0.4838709677419355,0.0,0.922,0,0,62,62
graph_dfs_size16384_seed4_loads,graph,1000,1,0.5102040816326531,0.4897959183673469,0.0,0.935,0,0,49,49
graph_dfs_size16384_seed4_loads,graph,1000,2,0.5,0.5,0.0,0.914,0,0,70,70
hash_table_size65536_seed0_loads,hash,100,0,0.0,1.0,0.03,0.16,0,0,4,4
hash_table_size65536_seed0_loads,hash,100,1,0.0,1.0,0.0,0.15,0,0,14,14
hash_table_size65536_seed0_loads,hash,100,2,0.0,1.0,0.02,0.17,0,0,2,2
hash_table_size65536_seed0_loads,hash,500,0,0.0,1.0,0.018,0.192,0,0,28,28
hash_table_size65536_seed0_loads,hash,500,1,0.0,1.0,0.042,0.184,0,0,32,32
hash_table_size65536_seed0_loads,hash,500,2,0.0,1.0,0.052,0.208,0,0,33,33
hash_table_size65536_seed0_loads,hash,1000,0,0.0,1.0,0.02,0.214,0,0,76,76
hash_table_size65536_seed0_loads,hash,1000,1,0.0,1.0,0.027,0.206,0,0,87,87
hash_table_size65536_seed0_loads,hash,1000,2,0.0,1.0,0.049,0.211,0,0,68,68
hash_table_size65536_seed1_loads,hash,100,0,0.0,1.0,0.03,0.16,0,0,4,4
hash_table_size65536_seed1_loads,hash,100,1,0.0,1.0,0.0,0.15,0,0,14,14
hash_table_size65536_seed1_loads,hash,100,2,0.0,1.0,0.02,0.17,0,0,2,2
hash_table_size65536_seed1_loads,hash,500,0,0.0,1.0,0.018,0.192,0,0,28,28
hash_table_size65536_seed1_loads,hash,500,1,0.0,1.0,0.042,0.184,0,0,32,32
hash_table_size65536_seed1_loads,hash,500,2,0.0,1.0,0.052,0.208,0,0,33,33
hash_table_size65536_seed1_loads,hash,1000,0,0.0,1.0,0.02,0.214,0,0,76,76
hash_table_size65536_seed1_loads,hash,1000,1,0.0,1.0,0.027,0.206,0,0,87,87
hash_table_size65536_seed1_loads,hash,1000,2,0.0,1.0,0.049,0.211,0,0,68,68
hash_table_size65536_seed2_loads,hash,100,0,0.0,0.0,0.0,0.26,0,0,0,0
hash_table_size65536_seed2_loads,hash,100,1,0.0,0.0,0.0,0.2,0,0,0,0
hash_table_size65536_seed2_loads,hash,100,2,0.0,0.0,0.01,0.22,0,0,0,0
hash_table_size65536_seed2_loads,hash,500,0,0.0,0.0,0.0,0.262,0,0,0,0
hash_table_size65536_seed2_loads,hash,500,1,0.0,0.0,0.0,0.29,0,0,0,0
hash_table_size65536_seed2_loads,hash,500,2,0.0,0.0,0.002,0.246,0,0,0,0
hash_table_size65536_seed2_loads,hash,1000,0,0.0,0.0,0.001,0.276,0,0,0,0
hash_table_size65536_seed2_loads,hash,1000,1,0.0,1.0,0.001,0.263,0,0,1,1
hash_table_size65536_seed2_loads,hash,1000,2,0.0,0.0,0.001,0.279,0,0,0,0
hash_table_size65536_seed3_loads,hash,100,0,0.0,0.0,0.01,0.17,0,0,0,0
hash_table_size65536_seed3_loads,hash,100,1,0.0,1.0,0.02,0.22,0,0,8,8
hash_table_size65536_seed3_loads,hash,100,2,0.0,1.0,0.05,0.22,0,0,6,6
hash_table_size65536_seed3_loads,hash,500,0,0.0,1.0,0.012,0.226,0,0,30,30
hash_table_size65536_seed3_loads,hash,500,1,0.0,1.0,0.024,0.188,0,0,42,42
hash_table_size65536_seed3_loads,hash,500,2,0.0,1.0,0.044,0.204,0,0,42,42
hash_table_size65536_seed3_loads,hash,1000,0,0.0,1.0,0.021,0.232,0,0,66,66
hash_table_size65536_seed3_loads,hash,1000,1,0.0,1.0,0.021,0.217,0,0,87,87
hash_table_size65536_seed3_loads,hash,1000,2,0.0,1.0,0.038,0.214,0,0,80,80
hash_table_size65536_seed4_loads,hash,100,0,0.0,1.0,0.02,0.16,0,0,6,6
hash_table_size65536_seed4_loads,hash,100,1,0.0,1.0,0.02,0.19,0,0,2,2
hash_table_size65536_seed4_loads,hash,100,2,0.0,1.0,0.03,0.14,0,0,15,15
hash_table_size65536_seed4_loads,hash,500,0,0.0,1.0,0.032,0.2,0,0,33,33
hash_table_size65536_seed4_loads,hash,500,1,0.0,1.0,0.028,0.208,0,0,31,31
hash_table_size65536_seed4_loads,hash,500,2,0.0,1.0,0.032,0.208,0,0,49,49
hash_table_size65536_seed4_loads,hash,1000,0,0.0,1.0,0.025,0.217,0,0,84,84
hash_table_size65536_seed4_loads,hash,1000,1,0.0,1.0,0.034,0.221,0,0,70,70
hash_table_size65536_seed4_loads,hash,1000,2,0.0,1.0,0.041,0.208,0,0,94,94
linked_list_size65536_seed0_loads,pointer_chasing,100,0,0.0,0.0,0.84,0.0,0,0,0,0
linked_list_size65536_seed0_loads,pointer_chasing,100,1,0.0,0.0,0.83,0.0,0,0,0,0
linked_list_size65536_seed0_loads,pointer_chasing,100,2,0.0,0.0,0.83,0.0,0,0,0,0
linked_list_size65536_seed0_loads,pointer_chasing,500,0,0.0,0.0,0.968,0.0,0,0,0,0
linked_list_size65536_seed0_loads,pointer_chasing,500,1,0.0,0.0,0.966,0.0,0,0,0,0
linked_list_size65536_seed0_loads,pointer_chasing,500,2,0.0,0.0,0.966,0.0,0,0,0,0
linked_list_size65536_seed0_loads,pointer_chasing,1000,0,0.0,0.0,0.984,0.0,0,0,0,0
linked_list_size65536_seed0_loads,pointer_chasing,1000,1,0.0,0.0,0.983,0.0,0,0,0,0
linked_list_size65536_seed0_loads,pointer_chasing,1000,2,0.0,0.0,0.983,0.0,0,0,0,0
linked_list_size65536_seed1_loads,pointer_chasing,100,0,0.0,0.0,0.84,0.0,0,0,0,0
linked_list_size65536_seed1_loads,pointer_chasing,100,1,0.0,0.0,0.83,0.0,0,0,0,0
linked_list_size65536_seed1_loads,pointer_chasing,100,2,0.0,0.0,0.83,0.0,0,0,0,0
linked_list_size65536_seed1_loads,pointer_chasing,500,0,0.0,0.0,0.968,0.0,0,0,0,0
linked_list_size65536_seed1_loads,pointer_chasing,500,1,0.0,0.0,0.966,0.0,0,0,0,0
linked_list_size65536_seed1_loads,pointer_chasing,500,2,0.0,0.0,0.966,0.0,0,0,0,0
linked_list_size65536_seed1_loads,pointer_chasing,1000,0,0.0,0.0,0.984,0.0,0,0,0,0
linked_list_size65536_seed1_loads,pointer_chasing,1000,1,0.0,0.0,0.983,0.0,0,0,0,0
linked_list_size65536_seed1_loads,pointer_chasing,1000,2,0.0,0.0,0.983,0.0,0,0,0,0
linked_list_size65536_seed2_loads,pointer_chasing,100,0,0.0,0.0,0.84,0.0,0,0,0,0
linked_list_size65536_seed2_loads,pointer_chasing,100,1,0.0,0.0,0.83,0.0,0,0,0,0
linked_list_size65536_seed2_loads,pointer_chasing,100,2,0.0,0.0,0.83,0.0,0,0,0,0
linked_list_size65536_seed2_loads,pointer_chasing,500,0,0.0,0.0,0.968,0.0,0,0,0,0
linked_list_size65536_seed2_loads,pointer_chasing,500,1,0.0,0.0,0.966,0.0,0,0,0,0
linked_list_size65536_seed2_loads,pointer_chasing,500,2,0.0,0.0,0.966,0.0,0,0,0,0
linked_list_size65536_seed2_loads,pointer_chasing,1000,0,0.0,0.0,0.984,0.0,0,0,0,0
linked_list_size65536_seed2_loads,pointer_chasing,1000,1,0.0,0.0,0.983,0.0,0,0,0,0
linked_list_size65536_seed2_loads,pointer_chasing,1000,2,0.0,0.0,0.983,0.0,0,0,0,0
linked_list_size65536_seed3_loads,pointer_chasing,100,0,0.0,0.0,0.84,0.0,0,0,0,0
linked_list_size65536_seed3_loads,pointer_chasing,100,1,0.0,0.0,0.83,0.0,0,0,0,0
linked_list_size65536_seed3_loads,pointer_chasing,100,2,0.0,0.0,0.83,0.0,0,0,0,0
linked_list_size65536_seed3_loads,pointer_chasing,500,0,0.0,0.0,0.968,0.0,0,0,0,0
linked_list_size65536_seed3_loads,pointer_chasing,500,1,0.0,0.0,0.966,0.0,0,0,0,0
linked_list_size65536_seed3_loads,pointer_chasing,500,2,0.0,0.0,0.966,0.0,0,0,0,0
linked_list_size65536_seed3_loads,pointer_chasing,1000,0,0.0,0.0,0.984,0.0,0,0,0,0
linked_list_size65536_seed3_loads,pointer_chasing,1000,1,0.0,0.0,0.983,0.0,0,0,0,0
linked_list_size65536_seed3_loads,pointer_chasing,1000,2,0.0,0.0,0.983,0.0,0,0,0,0
linked_list_size65536_seed4_loads,pointer_chasing,100,0,0.0,0.0,0.84,0.0,0,0,0,0
linked_list_size65536_seed4_loads,pointer_chasing,100,1,0.0,0.0,0.83,0.0,0,0,0,0
linked_list_size65536_seed4_loads,pointer_chasing,100,2,0.0,0.0,0.83,0.0,0,0,0,0
linked_list_size65536_seed4_loads,pointer_chasing,500,0,0.0,0.0,0.968,0.0,0,0,0,0
linked_list_size65536_seed4_loads,pointer_chasing,500,1,0.0,0.0,0.966,0.0,0,0,0,0
linked_list_size65536_seed4_loads,pointer_chasing,500,2,0.0,0.0,0.966,0.0,0,0,0,0
linked_list_size65536_seed4_loads,pointer_chasing,1000,0,0.0,0.0,0.984,0.0,0,0,0,0
linked_list_size65536_seed4_loads,pointer_chasing,1000,1,0.0,0.0,0.983,0.0,0,0,0,0
linked_list_size65536_seed4_loads,pointer_chasing,1000,2,0.0,0.0,0.983,0.0,0,0,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,100,0,0.0,0.0,0.84,0.0,0,0,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,100,1,0.0,0.0,0.83,0.0,0,0,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,100,2,0.0,0.0,0.83,0.0,0,0,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,500,0,0.0,0.0,0.968,0.0,0,0,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,500,1,0.0,0.0,0.966,0.0,0,0,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,500,2,0.0,0.0,0.966,0.0,0,0,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,1000,0,0.0,0.0,0.984,0.0,0,0,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,1000,1,0.0,0.0,0.983,0.0,0,0,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,1000,2,0.0,0.0,0.983,0.0,0,0,0,0
pointer_chase_size65536_seed0_loads,pointer_chasing,100,0,1.0,0.0,0.0,0.52,0,0,32,32
pointer_chase_size65536_seed0_loads,pointer_chasing,100,1,1.0,0.0,0.0,0.53,0,0,31,31
pointer_chase_size65536_seed0_loads,pointer_chasing,100,2,1.0,0.0,0.0,0.56,0,0,28,28
pointer_chase_size65536_seed0_loads,pointer_chasing,500,0,1.0,0.0,0.0,0.618,0,0,175,175
pointer_chase_size65536_seed0_loads,pointer_chasing,500,1,1.0,0.0,0.0,0.586,0,0,191,191
pointer_chase_size65536_seed0_loads,pointer_chasing,500,2,1.0,0.0,0.0,0.606,0,0,181,181
pointer_chase_size65536_seed0_loads,pointer_chasing,1000,0,1.0,0.0,0.0,0.632,0,0,352,352
pointer_chase_size65536_seed0_loads,pointer_chasing,1000,1,1.0,0.0,0.0,0.617,0,0,367,367
pointer_chase_size65536_seed0_loads,pointer_chasing,1000,2,1.0,0.0,0.0,0.611,0,0,373,373
pointer_chase_size65536_seed1_loads,pointer_chasing,100,0,1.0,0.0,0.0,0.52,0,0,32,32
pointer_chase_size65536_seed1_loads,pointer_chasing,100,1,1.0,0.0,0.0,0.53,0,0,31,31
pointer_chase_size65536_seed1_loads,pointer_chasing,100,2,1.0,0.0,0.0,0.56,0,0,28,28
pointer_chase_size65536_seed1_loads,pointer_chasing,500,0,1.0,0.0,0.0,0.618,0,0,175,175
pointer_chase_size65536_seed1_loads,pointer_chasing,500,1,1.0,0.0,0.0,0.586,0,0,191,191
pointer_chase_size65536_seed1_loads,pointer_chasing,500,2,1.0,0.0,0.0,0.606,0,0,181,181
pointer_chase_size65536_seed1_loads,pointer_chasing,1000,0,1.0,0.0,0.0,0.632,0,0,352,352
