workload,category,window,window_index,window_accesses,gmc_speedup,wam_speedup,difference,winner,margin,gmc_cycles,wam_cycles,baseline_cycles,gmc_confidence,wam_confidence,gmc_start_confidence,wam_start_confidence,gmc_accuracy,wam_accuracy,gmc_prefetch_precision,wam_prefetch_precision,gmc_coverage,wam_coverage,gmc_late_prefetch_rate,wam_late_prefetch_rate,gmc_cache_pollution,wam_cache_pollution,gmc_bandwidth_bytes,wam_bandwidth_bytes,gmc_useful_rate,wam_useful_rate,gmc_storage_bytes,wam_storage_bytes,context_reuse_depth16,context_entropy_depth1,context_entropy_depth16,entropy_reduction,h16_contexts,stride_stability,delta_entropy,sequential_fraction,unique_lines,mean_reuse_distance,median_reuse_distance,same_address_fraction,history_length,context_reuse_observations,offset,h1_oracle_accuracy,h8_oracle_accuracy,h16_oracle_accuracy,h32_oracle_accuracy,agreement_rate,disagreement_rate,only_gmc_rate,only_wam_rate,wam_wins_disagreements,gmc_wins_disagreements,both_wrong_disagreements,joint_predictions
linked_list_size65536_seed1_loads,pointer_chasing,500,0,500,3.8294251134644477,1.0,-2.8294251134644477,GMC-style,2.8294251134644477,5288,20250,20250,1.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0,0.242,0.0,0.2644628099173554,0.0,0,0,968,0,1.0,0.0,976,1731552,0.002,0.8106291019595655,0.0,0.8106291019595655,4999.0,0.7503751875937968,0.810682924459406,0.24849699398797595,125.0,1,1,0.751503006012024,5000.0,501.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968,0.0,0,0,0,0
linked_list_size65536_seed1_loads,pointer_chasing,500,1,500,3.8294251134644477,1.0,-2.8294251134644477,GMC-style,2.8294251134644477,5288,20250,20250,0.998,0.0,1.0,0.0,0.7479338842975206,0.0,1.0,0.0,0.242,0.0,0.2644628099173554,0.0,0,0,968,0,1.0,0.0,976,1731552,0.002,0.8106291019595655,0.0,0.8106291019595655,4999.0,0.7503751875937968,0.810682924459406,0.24849699398797595,125.0,1,1,0.751503006012024,5000.0,501.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.966,0.0,0,0,0,0
linked_list_size65536_seed1_loads,pointer_chasing,500,2,500,3.8294251134644477,1.0,-2.8294251134644477,GMC-style,2.8294251134644477,5288,20250,20250,0.998,0.0,1.0,0.0,0.7479338842975206,0.0,1.0,0.0,0.242,0.0,0.2644628099173554,0.0,0,0,968,0,1.0,0.0,976,1731552,0.002,0.8106291019595655,0.0,0.8106291019595655,4999.0,0.7503751875937968,0.810682924459406,0.24849699398797595,125.0,1,1,0.751503006012024,5000.0,501.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.966,0.0,0,0,0,0
linked_list_size65536_seed1_loads,pointer_chasing,1000,0,1000,4.018255779343189,1.0,-3.018255779343189,GMC-style,3.018255779343189,10079,40500,40500,1.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0,0.246,0.0,0.25609756097560976,0.0,0,0,1968,0,1.0,0.0,976,1731552,0.001,0.8106291019595655,0.0,0.8106291019595655,4999.0,0.7503751875937968,0.810682924459406,0.24924924924924924,250.0,1,1.0,0.7507507507507507,5000.0,1001.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984,0.0,0,0,0,0
linked_list_size65536_seed1_loads,pointer_chasing,1000,1,1000,4.018255779343189,1.0,-3.018255779343189,GMC-style,3.018255779343189,10079,40500,40500,0.999,0.0,1.0,0.0,0.7489837398373984,0.0,1.0,0.0,0.246,0.0,0.25609756097560976,0.0,0,0,1968,0,1.0,0.0,976,1731552,0.001,0.8106291019595655,0.0,0.8106291019595655,4999.0,0.7503751875937968,0.810682924459406,0.24924924924924924,250.0,1,1.0,0.7507507507507507,5000.0,1001.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983,0.0,0,0,0,0
linked_list_size65536_seed1_loads,pointer_chasing,1000,2,1000,4.018255779343189,1.0,-3.018255779343189,GMC-style,3.018255779343189,10079,40500,40500,0.999,0.0,1.0,0.0,0.7489837398373984,0.0,1.0,0.0,0.246,0.0,0.25609756097560976,0.0,0,0,1968,0,1.0,0.0,976,1731552,0.001,0.8106291019595655,0.0,0.8106291019595655,4999.0,0.7503751875937968,0.810682924459406,0.24924924924924924,250.0,1,1.0,0.7507507507507507,5000.0,1001.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983,0.0,0,0,0,0
linked_list_size65536_seed2_loads,pointer_chasing,100,0,100,2.8164116828929067,1.0,-1.8164116828929067,GMC-style,1.8164116828929067,1438,4050,4050,1.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0,0.21,0.0,0.3333333333333333,0.0,0,0,168,0,1.0,0.0,976,1731552,0.01,0.8106291019595655,0.0,0.8106291019595655,4999.0,0.7503751875937968,0.810682924459406,0.24242424242424243,25.0,1,1,0.7575757575757576,5000.0,101.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0,0,0,0
linked_list_size65536_seed2_loads,pointer_chasing,100,1,100,2.8164116828929067,1.0,-1.8164116828929067,GMC-style,1.8164116828929067,1438,4050,4050,0.99,0.0,1.0,0.0,0.7380952380952381,0.0,1.0,0.0,0.21,0.0,0.3333333333333333,0.0,0,0,168,0,1.0,0.0,976,1731552,0.01,0.8106291019595655,0.0,0.8106291019595655,4999.0,0.7503751875937968,0.810682924459406,0.24242424242424243,25.0,1,1,0.7575757575757576,5000.0,101.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0,0,0,0
linked_list_size65536_seed2_loads,pointer_chasing,100,2,100,2.8164116828929067,1.0,-1.8164116828929067,GMC-style,1.8164116828929067,1438,4050,4050,0.99,0.0,1.0,0.0,0.7380952380952381,0.0,1.0,0.0,0.21,0.0,0.3333333333333333,0.0,0,0,168,0,1.0,0.0,976,1731552,0.01,0.8106291019595655,0.0,0.8106291019595655,4999.0,0.7503751875937968,0.810682924459406,0.24242424242424243,25.0,1,1,0.7575757575757576,5000.0,101.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0,0,0,0
linked_list_size65536_seed2_loads,pointer_chasing,500,0,500,3.8294251134644477,1.0,-2.8294251134644477,GMC-style,2.8294251134644477,5288,20250,20250,1.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0,0.242,0.0,0.2644628099173554,0.0,0,0,968,0,1.0,0.0,976,1731552,0.002,0.8106291019595655,0.0,0.8106291019595655,4999.0,0.7503751875937968,0.810682924459406,0.24849699398797595,125.0,1,1,0.751503006012024,5000.0,501.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968,0.0,0,0,0,0
linked_list_size65536_seed2_loads,pointer_chasing,500,1,500,3.8294251134644477,1.0,-2.8294251134644477,GMC-style,2.8294251134644477,5288,20250,20250,0.998,0.0,1.0,0.0,0.7479338842975206,0.0,1.0,0.0,0.242,0.0,0.2644628099173554,0.0,0,0,968,0,1.0,0.0,976,1731552,0.002,0.8106291019595655,0.0,0.8106291019595655,4999.0,0.7503751875937968,0.810682924459406,0.24849699398797595,125.0,1,1,0.751503006012024,5000.0,501.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.966,0.0,0,0,0,0
linked_list_size65536_seed2_loads,pointer_chasing,500,2,500,3.8294251134644477,1.0,-2.8294251134644477,GMC-style,2.8294251134644477,5288,20250,20250,0.998,0.0,1.0,0.0,0.7479338842975206,0.0,1.0,0.0,0.242,0.0,0.2644628099173554,0.0,0,0,968,0,1.0,0.0,976,1731552,0.002,0.8106291019595655,0.0,0.8106291019595655,4999.0,0.7503751875937968,0.810682924459406,0.24849699398797595,125.0,1,1,0.751503006012024,5000.0,501.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.966,0.0,0,0,0,0
