trace,phase,depth,horizon,train_examples,evaluation_examples,reusable_evaluation_examples,oracle_top1_accuracy,coverage,evaluation_context_reuse
453.povray-576B,measurement_70_30,2,1,51423,22039,19548,0.7996214446490689,0.8869730931530468,0.8869730931530468
453.povray-576B,measurement_70_30,2,4,51420,22036,19548,0.6189891549007571,0.8870938464331095,0.8870938464331095
453.povray-576B,measurement_70_30,2,8,51416,22032,19548,0.52573153263761,0.8872549019607843,0.8872549019607843
453.povray-576B,measurement_70_30,2,16,51408,22024,19548,0.4037753222836096,0.8875771885216128,0.8875771885216128
453.povray-576B,measurement_70_30,2,32,51392,22008,19548,0.2781870268058113,0.8882224645583424,0.8882224645583424
453.povray-576B,measurement_70_30,4,1,51421,22039,18336,0.8869982547993019,0.8319796723989292,0.8319796723989292
453.povray-576B,measurement_70_30,4,4,51418,22036,18336,0.7360929319371727,0.8320929388273733,0.8320929388273733
453.povray-576B,measurement_70_30,4,8,51414,22032,18336,0.6248363874345549,0.8322440087145969,0.8322440087145969
453.povray-576B,measurement_70_30,4,16,51406,22024,18336,0.4826570680628272,0.8325463131129677,0.8325463131129677
453.povray-576B,measurement_70_30,4,32,51390,22008,18334,0.32676993563870405,0.8330607051981098,0.8330607051981098
453.povray-576B,measurement_70_30,8,1,51417,22039,16425,0.9260273972602739,0.7452697490811743,0.7452697490811743
453.povray-576B,measurement_70_30,8,4,51414,22036,16425,0.7922678843226788,0.745371210746052,0.745371210746052
453.povray-576B,measurement_70_30,8,8,51410,22032,16425,0.6844444444444444,0.7455065359477124,0.7455065359477124
453.povray-576B,measurement_70_30,8,16,51402,22024,16425,0.5344292237442922,0.7457773338176534,0.7457773338176534
453.povray-576B,measurement_70_30,8,32,51386,22008,16418,0.3545498842733585,0.7460014540167212,0.7460014540167212
453.povray-576B,measurement_70_30,16,1,51409,22039,13122,0.942539247065996,0.5953990652933436,0.5953990652933436
453.povray-576B,measurement_70_30,16,4,51406,22036,13122,0.8267032464563329,0.5954801234343801,0.5954801234343801
453.povray-576B,measurement_70_30,16,8,51402,22032,13122,0.7204694406340497,0.5955882352941176,0.5955882352941176
453.povray-576B,measurement_70_30,16,16,51394,22024,13122,0.5727023319615913,0.5958045768252815,0.5958045768252815
453.povray-576B,measurement_70_30,16,32,51378,22008,13117,0.388427231836548,0.5960105416212287,0.5960105416212287
454.calculix-104B,measurement_70_30,1,1,16,7,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,1,4,13,4,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,1,8,9,0,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,1,16,1,0,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,1,32,0,0,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,2,1,15,7,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,2,4,12,4,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,2,8,8,0,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,2,16,0,0,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,2,32,0,0,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,4,1,13,7,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,4,4,10,4,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,4,8,6,0,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,4,16,0,0,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,4,32,0,0,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,8,1,9,7,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,8,4,6,4,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,8,8,2,0,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,8,16,0,0,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,8,32,0,0,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,16,1,1,7,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,16,4,0,4,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,16,8,0,0,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,16,16,0,0,0,0.0,0.0,0.0
454.calculix-104B,measurement_70_30,16,32,0,0,0,0.0,0.0,0.0
465.tonto-44B,measurement_70_30,1,1,4874,2089,1054,0.45161290322580644,0.5045476304451891,0.5045476304451891
465.tonto-44B,measurement_70_30,1,4,4871,2086,1051,0.28068506184586106,0.5038350910834132,0.5038350910834132
465.tonto-44B,measurement_70_30,1,8,4867,2082,1047,0.21298949379178606,0.5028818443804035,0.5028818443804035
465.tonto-44B,measurement_70_30,1,16,4859,2074,1042,0.11228406909788867,0.502410800385728,0.502410800385728
465.tonto-44B,measurement_70_30,1,32,4843,2058,1037,0.0009643201542912247,0.5038872691933917,0.5038872691933917
465.tonto-44B,measurement_70_30,2,1,4873,2089,504,0.7261904761904762,0.24126376256582097,0.24126376256582097
465.tonto-44B,measurement_70_30,2,4,4870,2086,503,0.5347912524850894,0.2411313518696069,0.2411313518696069
465.tonto-44B,measurement_70_30,2,8,4866,2082,501,0.4111776447105788,0.24063400576368876,0.24063400576368876
465.tonto-44B,measurement_70_30,2,16,4858,2074,500,0.21,0.24108003857280616,0.24108003857280616
465.tonto-44B,measurement_70_30,2,32,4842,2058,499,0.0,0.2424684159378037,0.2424684159378037
465.tonto-44B,measurement_70_30,4,1,4871,2089,319,0.8996865203761756,0.1527046433700335,0.1527046433700335
465.tonto-44B,measurement_70_30,4,4,4868,2086,319,0.7335423197492164,0.1529242569511026,0.1529242569511026
465.tonto-44B,measurement_70_30,4,8,4864,2082,319,0.5611285266457681,0.15321805955811718,0.15321805955811718
465.tonto-44B,measurement_70_30,4,16,4856,2074,319,0.25391849529780564,0.15380906460945035,0.15380906460945035
465.tonto-44B,measurement_70_30,4,32,4840,2058,319,0.0,0.15500485908649175,0.15500485908649175
465.tonto-44B,measurement_70_30,8,1,4867,2089,237,0.9240506329113924,0.11345141215892772,0.11345141215892772
465.tonto-44B,measurement_70_30,8,4,4864,2086,237,0.7510548523206751,0.11361457334611696,0.11361457334611696
465.tonto-44B,measurement_70_30,8,8,4860,2082,237,0.540084388185654,0.1138328530259366,0.1138328530259366
465.tonto-44B,measurement_70_30,8,16,4852,2074,237,0.15611814345991562,0.11427193828351012,0.11427193828351012
465.tonto-44B,measurement_70_30,8,32,4836,2058,237,0.0,0.1151603498542274,0.1151603498542274
465.tonto-44B,measurement_70_30,16,1,4859,2089,131,0.8854961832061069,0.0627094303494495,0.0627094303494495
465.tonto-44B,measurement_70_30,16,4,4856,2086,131,0.6183206106870229,0.06279961649089166,0.06279961649089166
465.tonto-44B,measurement_70_30,16,8,4852,2082,131,0.2824427480916031,0.06292026897214217,0.06292026897214217
465.tonto-44B,measurement_70_30,16,16,4844,2074,131,0.0,0.06316297010607522,0.06316297010607522
465.tonto-44B,measurement_70_30,16,32,4828,2058,131,0.0,0.06365403304178814,0.06365403304178814
