workload,system,configuration,horizon,trace_length,accuracy,top3_accuracy,prediction_attempts,total_cycles,average_latency,raw_memory_cycles,speedup,useful_prefetches,prefetches_issued,prefetches_completed,late_prefetches,late_rate,unused_prefetches,dropped_prefetches,pollution_misses,bandwidth_bytes,bandwidth_utilization,cycles_hidden,fully_hidden_misses,partially_hidden_misses,unhidden_misses,mean_lead_time,median_lead_time,mean_slack,median_slack,queue_occupancy,lookup_prefetch_overhead,storage_bytes,fraction_of_oracle_gain
Repeating,DirectMarkov,DirectMarkov-H32,32,2000,1.0,1.0,568,7784,12.973333333333333,2984,0.38335046248715315,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,4800,168,0.0
Contextual,Oracle,Oracle-H1,1,1998,1.0,1.0,599,3146,5.243333333333333,2546,0.9949141767323586,4,4,4,4,1.0,0,0,0,32,1.0,0,0,0,5,1.0,1,-149.0,-149,0.0,4,0,0.0
Contextual,DirectWAM,DirectWAM-H1,1,1998,1.0,1.0,599,7946,13.243333333333334,2546,0.3939088849735716,4,4,4,4,1.0,0,0,0,32,1.0,0,0,0,5,1.0,1,-149.0,-149,0.0,4804,552,0.0
Contextual,RecursiveWAM,RecursiveWAM-H1,1,1998,1.0,1.0,599,7946,13.243333333333334,2546,0.3939088849735716,4,4,4,4,1.0,0,0,0,32,1.0,0,0,0,5,1.0,1,-149.0,-149,0.0,4804,552,0.0
Contextual,DirectMarkov,DirectMarkov-H1,1,1998,1.0,1.0,599,7946,13.243333333333334,2546,0.3939088849735716,4,4,4,4,1.0,0,0,0,32,1.0,0,0,0,5,1.0,1,-149.0,-149,0.0,4804,216,0.0
Contextual,Oracle,Oracle-H2,2,1998,1.0,1.0,598,2985,4.975,2692,1.04857621440536,3,3,3,2,0.6666666666666666,0,0,0,24,1.0,148,1,2,2,54.0,5,-96.0,-145,0.0,3,0,1.0
Contextual,DirectWAM,DirectWAM-H2,2,1998,1.0,1.0,598,7769,12.948333333333334,2692,0.40288325395803837,3,3,3,2,0.6666666666666666,0,0,0,24,1.0,164,1,2,2,62.0,13,-88.0,-137,0.0,4803,552,-12.292368875415567
Contextual,RecursiveWAM,RecursiveWAM-H2,2,1998,1.0,1.0,598,7769,12.948333333333334,2692,0.40288325395803837,3,3,3,2,0.6666666666666666,0,0,0,24,1.0,164,1,2,2,62.0,13,-88.0,-137,0.0,4803,552,-12.292368875415567
Contextual,DirectMarkov,DirectMarkov-H2,2,1998,1.0,1.0,598,7769,12.948333333333334,2692,0.40288325395803837,3,3,3,2,0.6666666666666666,0,0,0,24,1.0,164,1,2,2,62.0,13,-88.0,-137,0.0,4803,216,-12.292368875415567
Contextual,Oracle,Oracle-H4,4,1998,1.0,1.0,596,2989,4.9816666666666665,2838,1.0471729675476749,2,2,2,1,0.5,0,0,0,16,1.0,146,1,0,4,153.0,305,3.0,155,0.0,2,0,1.0
Contextual,DirectWAM,DirectWAM-H4,4,1998,1.0,1.0,596,7789,12.981666666666667,2838,0.4018487610733085,2,2,2,1,0.5,0,0,0,16,1.0,146,1,0,4,165.0,329,15.0,179,0.0,4802,552,-12.67995782377219
Contextual,RecursiveWAM,RecursiveWAM-H4,4,1998,1.0,1.0,596,7789,12.981666666666667,2838,0.4018487610733085,2,2,2,1,0.5,0,0,0,16,1.0,146,1,0,4,165.0,329,15.0,179,0.0,4802,552,-12.67995782377219
Contextual,DirectMarkov,DirectMarkov-H4,4,1998,1.0,1.0,596,7789,12.981666666666667,2838,0.4018487610733085,2,2,2,1,0.5,0,0,0,16,1.0,146,1,0,4,165.0,329,15.0,179,0.0,4802,216,-12.67995782377219
Contextual,Oracle,Oracle-H8,8,1998,1.0,1.0,592,2985,4.975,2692,1.04857621440536,3,3,3,2,0.6666666666666666,0,0,0,24,1.0,148,1,2,2,54.0,5,-96.0,-145,0.0,3,0,1.0
Contextual,DirectWAM,DirectWAM-H8,8,1998,1.0,1.0,592,7769,12.948333333333334,2692,0.40288325395803837,3,3,3,2,0.6666666666666666,0,0,0,24,1.0,164,1,2,2,62.0,13,-88.0,-137,0.0,4803,552,-12.292368875415567
Contextual,RecursiveWAM,RecursiveWAM-H8,8,1998,1.0,1.0,592,7769,12.948333333333334,2692,0.40288325395803837,3,3,3,2,0.6666666666666666,0,0,0,24,1.0,164,1,2,2,62.0,13,-88.0,-137,0.0,4803,552,-12.292368875415567
Contextual,DirectMarkov,DirectMarkov-H8,8,1998,1.0,1.0,592,7769,12.948333333333334,2692,0.40288325395803837,3,3,3,2,0.6666666666666666,0,0,0,24,1.0,164,1,2,2,62.0,13,-88.0,-137,0.0,4803,216,-12.292368875415567
Contextual,Oracle,Oracle-H16,16,1998,1.0,1.0,584,2989,4.9816666666666665,2838,1.0471729675476749,2,2,2,1,0.5,0,0,0,16,1.0,146,1,0,4,153.0,305,3.0,155,0.0,2,0,1.0
Contextual,DirectWAM,DirectWAM-H16,16,1998,1.0,1.0,584,7789,12.981666666666667,2838,0.4018487610733085,2,2,2,1,0.5,0,0,0,16,1.0,146,1,0,4,165.0,329,15.0,179,0.0,4802,552,-12.67995782377219
Contextual,RecursiveWAM,RecursiveWAM-H16,16,1998,1.0,1.0,584,7789,12.981666666666667,2838,0.4018487610733085,2,2,2,1,0.5,0,0,0,16,1.0,146,1,0,4,165.0,329,15.0,179,0.0,4802,552,-12.67995782377219
Contextual,DirectMarkov,DirectMarkov-H16,16,1998,1.0,1.0,584,7789,12.981666666666667,2838,0.4018487610733085,2,2,2,1,0.5,0,0,0,16,1.0,146,1,0,4,165.0,329,15.0,179,0.0,4802,216,-12.67995782377219
Contextual,Oracle,Oracle-H32,32,1998,1.0,1.0,568,2985,4.975,2692,1.04857621440536,3,3,3,2,0.6666666666666666,0,0,0,24,1.0,148,1,2,2,54.0,5,-96.0,-145,0.0,3,0,1.0
Contextual,DirectWAM,DirectWAM-H32,32,1998,1.0,1.0,568,7769,12.948333333333334,2692,0.40288325395803837,3,3,3,2,0.6666666666666666,0,0,0,24,1.0,164,1,2,2,62.0,13,-88.0,-137,0.0,4803,552,-12.292368875415567
Contextual,RecursiveWAM,RecursiveWAM-H32,32,1998,1.0,1.0,568,7769,12.948333333333334,2692,0.40288325395803837,3,3,3,2,0.6666666666666666,0,0,0,24,1.0,164,1,2,2,62.0,13,-88.0,-137,0.0,4803,552,-12.292368875415567
Contextual,DirectMarkov,DirectMarkov-H32,32,1998,1.0,1.0,568,7769,12.948333333333334,2692,0.40288325395803837,3,3,3,2,0.6666666666666666,0,0,0,24,1.0,164,1,2,2,62.0,13,-88.0,-137,0.0,4803,216,-12.292368875415567
