workload,system,horizon,mean_lead_time,median_lead_time,mean_slack,median_slack,late_rate,cycles_hidden,fully_hidden,partially_hidden,unhidden
PhaseChanging,Oracle,8,151.0,151,1.0,1,0.0,146,1,0,2
PhaseChanging,DirectWAM,8,159.0,159,9.0,9,0.0,146,1,0,2
PhaseChanging,RecursiveWAM,8,159.0,159,9.0,9,0.0,146,1,0,2
PhaseChanging,DirectMarkov,8,159.0,159,9.0,9,0.0,146,1,0,2
PhaseChanging,Oracle,16,1.0,1,-149.0,-149,1.0,0,0,0,3
PhaseChanging,DirectWAM,16,1.0,1,-149.0,-149,1.0,0,0,0,3
PhaseChanging,RecursiveWAM,16,1.0,1,-149.0,-149,1.0,0,0,0,3
PhaseChanging,DirectMarkov,16,1.0,1,-149.0,-149,1.0,0,0,0,3
PhaseChanging,Oracle,32,151.0,151,1.0,1,0.0,146,1,0,2
PhaseChanging,DirectWAM,32,159.0,159,9.0,9,0.0,146,1,0,2
PhaseChanging,RecursiveWAM,32,159.0,159,9.0,9,0.0,146,1,0,2
PhaseChanging,DirectMarkov,32,159.0,159,9.0,9,0.0,146,1,0,2
Random,Oracle,1,1.0,1,-149.0,-149,1.0,0,0,0,572
Random,DirectWAM,1,2188.3076923076924,2347,2038.3076923076924,2197,0.0,1898,13,0,447
Random,RecursiveWAM,1,3056.8888888888887,3479,2906.8888888888887,3329,0.0,1314,9,0,451
Random,DirectMarkov,1,0.0,0.0,0.0,0.0,0.0,0,0,0,457
Random,Oracle,2,76.82716049382717,14,-73.17283950617283,-136,0.5520282186948854,41287,254,313,4
Random,DirectWAM,2,2505.0,3245,2355.0,3095,0.1,1314,9,0,450
Random,RecursiveWAM,2,2339.1428571428573,2465,2189.1428571428573,2315,0.14285714285714285,876,6,0,453
Random,DirectMarkov,2,0.0,0.0,0.0,0.0,0.0,0,0,0,457
Random,Oracle,4,117.4306049822064,150,-32.569395017793596,0,0.3398576512455516,62861,371,191,8
Random,DirectWAM,4,2290.0,2131,2140.0,1981,0.0,2336,16,0,446
Random,RecursiveWAM,4,3074.8,3776,2924.8,3626,0.0,1460,10,0,450
Random,DirectMarkov,4,0.0,0.0,0.0,0.0,0.0,0,0,0,457
Random,Oracle,8,148.56781193490053,150,-1.4321880650994574,0,0.25678119349005424,72835,411,142,15
Random,DirectWAM,8,2134.6666666666665,2058,1984.6666666666667,1908,0.1111111111111111,2336,16,0,444
Random,RecursiveWAM,8,2978.6111111111113,2949,2828.6111111111113,2799,0.1111111111111111,2336,16,0,442
Random,DirectMarkov,8,0.0,0.0,0.0,0.0,0.0,0,0,0,457
Random,Oracle,16,565.3756097560976,516,415.37560975609756,366,0.05609756097560976,58919,387,23,136
Random,DirectWAM,16,2337.157894736842,2620,2187.157894736842,2470,0.05263157894736842,2640,18,1,442
Random,RecursiveWAM,16,2378.6428571428573,3016,2228.6428571428573,2866,0.0,2044,14,0,445
Random,DirectMarkov,16,0.0,0.0,0.0,0.0,0.0,0,0,0,457
Random,Oracle,32,1553.969512195122,1472,1403.969512195122,1322,0.03048780487804878,47834,318,10,190
Random,DirectWAM,32,2336.05,2859,2186.05,2709,0.05,2774,19,0,441
Random,RecursiveWAM,32,2911.3333333333335,2855,2761.3333333333335,2705,0.0,3066,21,0,438
Random,DirectMarkov,32,0.0,0.0,0.0,0.0,0.0,0,0,0,457
LongHigherOrder,Oracle,1,1.0,1,-149.0,-149,1.0,0,0,0,50
LongHigherOrder,DirectWAM,1,1.0,1,-149.0,-149,1.0,0,0,0,50
LongHigherOrder,RecursiveWAM,1,1.0,1,-149.0,-149,1.0,0,0,0,50
LongHigherOrder,DirectMarkov,1,1.0,1,-149.0,-149,1.0,0,0,0,50
LongHigherOrder,Oracle,2,77.54166666666667,149,-72.45833333333333,-1,0.9791666666666666,3528,1,47,2
LongHigherOrder,DirectWAM,2,81.70833333333333,149,-68.29166666666667,-1,0.9791666666666666,3720,1,47,2
LongHigherOrder,RecursiveWAM,2,81.70833333333333,149,-68.29166666666667,-1,0.9791666666666666,3720,1,47,2
LongHigherOrder,DirectMarkov,2,81.70833333333333,149,-68.29166666666667,-1,0.9791666666666666,3720,1,47,2
LongHigherOrder,Oracle,4,88.54347826086956,150,-61.45652173913044,0,0.5,3587,23,23,4
LongHigherOrder,DirectWAM,4,101.06521739130434,150,-48.93478260869565,0,0.5,4139,23,23,4
LongHigherOrder,RecursiveWAM,4,101.06521739130434,150,-48.93478260869565,0,0.5,4139,23,23,4
LongHigherOrder,DirectMarkov,4,101.06521739130434,150,-48.93478260869565,0,0.5,4139,23,23,4
LongHigherOrder,Oracle,8,138.9318181818182,150,-11.068181818181818,0,0.29545454545454547,5123,31,13,6
LongHigherOrder,DirectWAM,8,156.75,150,6.75,0,0.29545454545454547,5739,31,13,6
LongHigherOrder,RecursiveWAM,8,156.75,150,6.75,0,0.29545454545454547,5739,31,13,6
LongHigherOrder,DirectMarkov,8,156.75,150,6.75,0,0.29545454545454547,5739,31,13,6
LongHigherOrder,Oracle,16,234.725,150,84.725,0,0.275,5423,29,11,10
LongHigherOrder,DirectWAM,16,296.8,188,146.8,38,0.0,5840,40,0,10
LongHigherOrder,RecursiveWAM,16,296.8,188,146.8,38,0.0,5840,40,0,10
LongHigherOrder,DirectMarkov,16,296.8,188,146.8,38,0.0,5840,40,0,10
LongHigherOrder,Oracle,32,931.625,867,781.625,717,0.2916666666666667,3480,17,7,26
LongHigherOrder,DirectWAM,32,940.875,388,790.875,238,0.0,4672,32,0,18
LongHigherOrder,RecursiveWAM,32,940.875,388,790.875,238,0.0,4672,32,0,18
LongHigherOrder,DirectMarkov,32,940.875,388,790.875,238,0.0,4672,32,0,18
