workload,system,horizon,train_accesses,total_cycles,average_latency,speedup,accuracy,late_prefetch_rate,cycles_hidden,fraction_of_ideal_gain,predictor_overhead,predictor_queue_stalls,average_queue_wait,maximum_queue_wait,dropped_predictions,predictor_queue_depth,port_stalls,update_count,prefetches_issued,bandwidth_bytes,storage_bytes,ideal_speedup,collision_rate,aliasing_rate,counter_bits,signature_bits,table_size,predictor_latency,mode
LongerDependency,DirectWAM-H16,16,3360,9529,6.617361111111111,0.7117221114492601,1.0,0.75,146,0.0,2880,0,0.0,0,0,0,0,1440,4,32,3696,1.0200030079711235,0.0,0.0,,,,2,serial
LongerDependency,RecursiveWAM,16,3360,9529,6.617361111111111,0.7117221114492601,1.0,0.75,146,0.0,2880,0,0.0,0,0,0,0,1440,4,32,816,1.0200030079711235,0.0,0.0,,,,2,serial
LongerDependency,Markov-N,16,3360,9529,6.617361111111111,0.7117221114492601,1.0,0.75,146,0.0,2880,0,0.0,0,0,0,0,1440,4,32,312,1.0200030079711235,0.0,0.0,,,,2,serial
LongerDependency,DirectWAM-H8,8,3360,10812,7.508333333333334,0.6272660007399186,1.0,0.0,292,0.0,4320,0,0.0,0,0,0,0,1440,2,16,1776,1.0446703635243377,0.0,0.0,,,,3,serial
LongerDependency,DirectWAM-H16,16,3360,10969,7.617361111111111,0.6182879022700337,1.0,0.75,146,0.0,4320,0,0.0,0,0,0,0,1440,4,32,3696,1.0200030079711235,0.0,0.0,,,,3,serial
LongerDependency,RecursiveWAM,16,3360,10969,7.617361111111111,0.6182879022700337,1.0,0.75,146,0.0,4320,0,0.0,0,0,0,0,1440,4,32,816,1.0200030079711235,0.0,0.0,,,,3,serial
LongerDependency,Markov-N,16,3360,10969,7.617361111111111,0.6182879022700337,1.0,0.75,146,0.0,4320,0,0.0,0,0,0,0,1440,4,32,312,1.0200030079711235,0.0,0.0,,,,3,serial
LongerDependency,DirectWAM-H8,8,3360,12252,8.508333333333333,0.5535422788116225,1.0,0.0,292,0.0,5760,0,0.0,0,0,0,0,1440,2,16,1776,1.0446703635243377,0.0,0.0,,,,4,serial
LongerDependency,DirectWAM-H16,16,3360,12409,8.61736111111111,0.5465388024820694,1.0,0.75,146,0.0,5760,0,0.0,0,0,0,0,1440,4,32,3696,1.0200030079711235,0.0,0.0,,,,4,serial
LongerDependency,RecursiveWAM,16,3360,12409,8.61736111111111,0.5465388024820694,1.0,0.75,146,0.0,5760,0,0.0,0,0,0,0,1440,4,32,816,1.0200030079711235,0.0,0.0,,,,4,serial
LongerDependency,Markov-N,16,3360,12409,8.61736111111111,0.5465388024820694,1.0,0.75,146,0.0,5760,0,0.0,0,0,0,0,1440,4,32,312,1.0200030079711235,0.0,0.0,,,,4,serial
LongerDependency,DirectWAM-H8,8,3360,15132,10.508333333333333,0.44818926777689666,1.0,0.0,292,0.0,8640,0,0.0,0,0,0,0,1440,2,16,1776,1.0446703635243377,0.0,0.0,,,,6,serial
LongerDependency,DirectWAM-H16,16,3360,15289,10.61736111111111,0.4435868925371182,1.0,0.75,146,0.0,8640,0,0.0,0,0,0,0,1440,4,32,3696,1.0200030079711235,0.0,0.0,,,,6,serial
LongerDependency,RecursiveWAM,16,3360,15289,10.61736111111111,0.4435868925371182,1.0,0.75,146,0.0,8640,0,0.0,0,0,0,0,1440,4,32,816,1.0200030079711235,0.0,0.0,,,,6,serial
LongerDependency,Markov-N,16,3360,15289,10.61736111111111,0.4435868925371182,1.0,0.75,146,0.0,8640,0,0.0,0,0,0,0,1440,4,32,312,1.0200030079711235,0.0,0.0,,,,6,serial
LongerDependency,DirectWAM-H8,8,3360,18012,12.508333333333333,0.37652675993781926,1.0,0.0,292,0.0,11520,0,0.0,0,0,0,0,1440,2,16,1776,1.0446703635243377,0.0,0.0,,,,8,serial
LongerDependency,DirectWAM-H16,16,3360,18169,12.61736111111111,0.37327315757609114,1.0,0.75,146,0.0,11520,0,0.0,0,0,0,0,1440,4,32,3696,1.0200030079711235,0.0,0.0,,,,8,serial
LongerDependency,RecursiveWAM,16,3360,18169,12.61736111111111,0.37327315757609114,1.0,0.75,146,0.0,11520,0,0.0,0,0,0,0,1440,4,32,816,1.0200030079711235,0.0,0.0,,,,8,serial
LongerDependency,Markov-N,16,3360,18169,12.61736111111111,0.37327315757609114,1.0,0.75,146,0.0,11520,0,0.0,0,0,0,0,1440,4,32,312,1.0200030079711235,0.0,0.0,,,,8,serial
LongerDependency,DirectWAM-H8,8,3360,23772,16.508333333333333,0.28529362274945314,1.0,0.0,292,0.0,17280,0,0.0,0,0,0,0,1440,2,16,1776,1.0446703635243377,0.0,0.0,,,,12,serial
LongerDependency,DirectWAM-H16,16,3360,23929,16.617361111111112,0.2834217894604873,1.0,0.75,146,0.0,17280,0,0.0,0,0,0,0,1440,4,32,3696,1.0200030079711235,0.0,0.0,,,,12,serial
LongerDependency,RecursiveWAM,16,3360,23929,16.617361111111112,0.2834217894604873,1.0,0.75,146,0.0,17280,0,0.0,0,0,0,0,1440,4,32,816,1.0200030079711235,0.0,0.0,,,,12,serial
LongerDependency,Markov-N,16,3360,23929,16.617361111111112,0.2834217894604873,1.0,0.75,146,0.0,17280,0,0.0,0,0,0,0,1440,4,32,312,1.0200030079711235,0.0,0.0,,,,12,serial
