workload,predictor,budget_bytes,storage_bytes,accuracy,speedup,coverage,within_budget,category,horizon,train_fraction,trace_length,prefetch_precision,late_prefetch_rate,mean_lead_time,mean_slack,cache_pollution,bandwidth_bytes,average_memory_latency,total_cycles,cycles_hidden,predictor_overhead,fraction_of_ideal_gain,prediction_attempts,wrong_predictions
graph_bfs_size65536_seed0_loads,GMC,32768,32768,0.1655112651646447,1.1134317696130958,0.694,True,graph,16,0.7,5000,0.1373679154658982,0.0,1623.4825174825176,1473.4825174825176,123,8328,110.122,165183,20878,0,0.7302422463704276,1154,963
graph_bfs_size65536_seed0_loads,HashedContext-H16,65536,65664,0.0011750881316098707,1.0130765756337237,0.41133333333333333,True,graph,16,0.7,5000,0.03889789303079417,0.08333333333333333,2099.6666666666665,1949.6666666666667,104,4936,121.03066666666666,181546,3214,0,0.08418336413311778,851,850
graph_bfs_size65536_seed0_loads,Markov-N-H16,65536,65536,0.0728476821192053,1.0081619900126624,0.078,True,graph,16,0.7,5000,0.09401709401709402,0.0,1776.7272727272727,1626.7272727272727,26,936,121.62066666666666,182431,1606,0,0.05254462609575173,151,140
graph_bfs_size65536_seed0_loads,VLDP,65536,55488,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,122.61333333333333,183920,0,0,0.0,0,0
graph_bfs_size65536_seed0_loads,SPP,65536,31136,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,122.61333333333333,183920,0,0,0.0,0,0
graph_bfs_size65536_seed0_loads,GMC,65536,65536,0.17677642980935876,1.1291540553648938,0.6926666666666667,True,graph,16,0.7,5000,0.15495668912415783,0.0,1506.7267080745341,1356.7267080745341,114,8312,108.58866666666667,162883,23506,0,0.831457957847305,1154,950
graph_dfs_size16384_seed0_loads,HashedContext-H16,2048,2176,0.0013477088948787063,1.0158262432303347,0.2693333333333333,True,graph,16,0.7,5000,0.10148514851485149,0.04878048780487805,1984.6097560975609,1834.6097560975609,44,3232,82.35266666666666,123529,5724,0,3.197669396762082,1484,1482
graph_dfs_size16384_seed0_loads,Markov-N-H16,2048,2048,0.0,0.9999920309200303,0.0006666666666666666,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,1,8,83.65666666666667,125485,0,0,0.0,14,14
graph_dfs_size16384_seed0_loads,VLDP,2048,2048,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,83.656,125484,0,0,0.0,0,0
graph_dfs_size16384_seed0_loads,SPP,2048,2048,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,83.656,125484,0,0,0.0,0,0
