workload,category,train_fraction,horizon,oracle_speedup,ideal_wam_speedup,baseline_cycles,oracle_cycles,depth,empirical_oracle_accuracy,coverage,perfect_speedup,perfect_cycles
hash_table_size65536_seed0_loads,,,1,,,,,2,0.0,0.0,0.9470312457161657,218846
hash_table_size65536_seed0_loads,,,4,,,,,2,0.0,0.0,3.6266820655502476,57147
hash_table_size65536_seed0_loads,,,8,,,,,2,0.0,0.0,6.89720123797797,30049
hash_table_size65536_seed0_loads,,,16,,,,,2,0.0,0.0,3.4230267395576988,60547
hash_table_size65536_seed0_loads,,,32,,,,,2,0.0,0.0,2.5055186837365055,82719
hash_table_size65536_seed0_loads,,,1,,,,,4,0.0,0.0,0.9470312457161657,218846
hash_table_size65536_seed0_loads,,,4,,,,,4,0.0,0.0,3.6266820655502476,57147
hash_table_size65536_seed0_loads,,,8,,,,,4,0.0,0.0,6.89720123797797,30049
hash_table_size65536_seed0_loads,,,16,,,,,4,0.0,0.0,3.4230267395576988,60547
hash_table_size65536_seed0_loads,,,32,,,,,4,0.0,0.0,2.5055186837365055,82719
hash_table_size65536_seed0_loads,,,1,,,,,8,0.0,0.0,0.9470312457161657,218846
hash_table_size65536_seed0_loads,,,4,,,,,8,0.0,0.0,3.6266820655502476,57147
hash_table_size65536_seed0_loads,,,8,,,,,8,0.0,0.0,6.89720123797797,30049
hash_table_size65536_seed0_loads,,,16,,,,,8,0.0,0.0,3.4230267395576988,60547
hash_table_size65536_seed0_loads,,,32,,,,,8,0.0,0.0,2.5055186837365055,82719
hash_table_size65536_seed0_loads,,,1,,,,,16,0.0,0.0,0.9470312457161657,218846
hash_table_size65536_seed0_loads,,,4,,,,,16,0.0,0.0,3.6266820655502476,57147
hash_table_size65536_seed0_loads,,,8,,,,,16,0.0,0.0,6.89720123797797,30049
hash_table_size65536_seed0_loads,,,16,,,,,16,0.0,0.0,3.4230267395576988,60547
hash_table_size65536_seed0_loads,,,32,,,,,16,0.0,0.0,2.5055186837365055,82719
linked_list_size65536_seed0_loads,pointer_chasing,0.5,1,0.9759412411080909,1.0,101250,103746,,,,,
linked_list_size65536_seed0_loads,pointer_chasing,0.5,4,1.0518606245714641,1.0,101250,96258,,,,,
linked_list_size65536_seed0_loads,pointer_chasing,0.5,8,2.0990546479807612,1.0,101250,48236,,,,,
linked_list_size65536_seed0_loads,pointer_chasing,0.5,16,4.126253158366615,1.0,101250,24538,,,,,
linked_list_size65536_seed0_loads,pointer_chasing,0.5,32,7.683259978752466,1.0,101250,13178,,,,,
linked_list_size65536_seed0_loads,pointer_chasing,0.7,1,0.975966327153552,1.0,60750,62246,,,,,
linked_list_size65536_seed0_loads,pointer_chasing,0.7,4,1.0518023477267218,1.0,60750,57758,,,,,
linked_list_size65536_seed0_loads,pointer_chasing,0.7,8,2.0958393707306975,1.0,60750,28986,,,,,
linked_list_size65536_seed0_loads,pointer_chasing,0.7,16,4.085406859448554,1.0,60750,14870,,,,,
linked_list_size65536_seed0_loads,pointer_chasing,0.7,32,7.273706896551724,1.0,60750,8352,,,,,
linked_list_size65536_seed0_loads,pointer_chasing,0.8,1,0.9759976865240023,1.0,40500,41496,,,,,
linked_list_size65536_seed0_loads,pointer_chasing,0.8,4,1.0517295107510127,1.0,40500,38508,,,,,
linked_list_size65536_seed0_loads,pointer_chasing,0.8,8,2.0853715050718296,1.0,40500,19421,,,,,
linked_list_size65536_seed0_loads,pointer_chasing,0.8,16,4.018255779343189,1.0,40500,10079,,,,,
linked_list_size65536_seed0_loads,pointer_chasing,0.8,32,6.798724190028538,1.0,40500,5957,,,,,
linked_list_size65536_seed0_loads,,,1,,,,,1,0.0,0.00066711140760507,0.975966327153552,62246
linked_list_size65536_seed0_loads,,,4,,,,,1,0.0,0.0,1.0518023477267218,57758
linked_list_size65536_seed0_loads,,,8,,,,,1,0.0,0.0,2.0958393707306975,28986
linked_list_size65536_seed0_loads,,,16,,,,,1,0.0,0.0,4.085406859448554,14870
linked_list_size65536_seed0_loads,,,32,,,,,1,0.0,0.0,7.273706896551724,8352
linked_list_size65536_seed0_loads,,,1,,,,,2,0.0,0.00066711140760507,0.975966327153552,62246
linked_list_size65536_seed0_loads,,,4,,,,,2,0.0,0.0,1.0518023477267218,57758
linked_list_size65536_seed0_loads,,,8,,,,,2,0.0,0.0,2.0958393707306975,28986
linked_list_size65536_seed0_loads,,,16,,,,,2,0.0,0.0,4.085406859448554,14870
linked_list_size65536_seed0_loads,,,32,,,,,2,0.0,0.0,7.273706896551724,8352
linked_list_size65536_seed0_loads,,,1,,,,,4,0.0,0.0,0.975966327153552,62246
linked_list_size65536_seed0_loads,,,4,,,,,4,0.0,0.0,1.0518023477267218,57758
linked_list_size65536_seed0_loads,,,8,,,,,4,0.0,0.0,2.0958393707306975,28986
linked_list_size65536_seed0_loads,,,16,,,,,4,0.0,0.0,4.085406859448554,14870
linked_list_size65536_seed0_loads,,,32,,,,,4,0.0,0.0,7.273706896551724,8352
linked_list_size65536_seed0_loads,,,1,,,,,8,0.0,0.0,0.975966327153552,62246
linked_list_size65536_seed0_loads,,,4,,,,,8,0.0,0.0,1.0518023477267218,57758
linked_list_size65536_seed0_loads,,,8,,,,,8,0.0,0.0,2.0958393707306975,28986
linked_list_size65536_seed0_loads,,,16,,,,,8,0.0,0.0,4.085406859448554,14870
linked_list_size65536_seed0_loads,,,32,,,,,8,0.0,0.0,7.273706896551724,8352
linked_list_size65536_seed0_loads,,,1,,,,,16,0.0,0.0,0.975966327153552,62246
linked_list_size65536_seed0_loads,,,4,,,,,16,0.0,0.0,1.0518023477267218,57758
linked_list_size65536_seed0_loads,,,8,,,,,16,0.0,0.0,2.0958393707306975,28986
linked_list_size65536_seed0_loads,,,16,,,,,16,0.0,0.0,4.085406859448554,14870
linked_list_size65536_seed0_loads,,,32,,,,,16,0.0,0.0,7.273706896551724,8352
matrix_scan_size512_seed0_loads,dynamic_programming,0.5,1,0.9780845011063113,1.0,55698,56946,,,,,
matrix_scan_size512_seed0_loads,dynamic_programming,0.5,4,1.0469155294913726,1.0,55698,53202,,,,,
matrix_scan_size512_seed0_loads,dynamic_programming,0.5,8,1.154937170820719,1.0,55698,48226,,,,,
matrix_scan_size512_seed0_loads,dynamic_programming,0.5,16,2.297393169443986,1.0,55698,24244,,,,,
matrix_scan_size512_seed0_loads,dynamic_programming,0.5,32,4.4239872915011915,1.0,55698,12590,,,,,
matrix_scan_size512_seed0_loads,dynamic_programming,0.7,1,0.9781260966194877,1.0,33448,34196,,,,,
matrix_scan_size512_seed0_loads,dynamic_programming,0.7,4,1.0468202303455183,1.0,33448,31952,,,,,
matrix_scan_size512_seed0_loads,dynamic_programming,0.7,8,1.154334621755936,1.0,33448,28976,,,,,
matrix_scan_size512_seed0_loads,dynamic_programming,0.7,16,2.281115733478824,1.0,33448,14663,,,,,
matrix_scan_size512_seed0_loads,dynamic_programming,0.7,32,4.29757163047668,1.0,33448,7783,,,,,
matrix_scan_size512_seed0_loads,dynamic_programming,0.8,1,0.9781939681702277,1.0,22250,22746,,,,,
matrix_scan_size512_seed0_loads,dynamic_programming,0.8,4,1.0466647850221094,1.0,22250,21258,,,,,
matrix_scan_size512_seed0_loads,dynamic_programming,0.8,8,1.1544048977897685,1.0,22250,19274,,,,,
matrix_scan_size512_seed0_loads,dynamic_programming,0.8,16,2.2741210139002455,1.0,22250,9784,,,,,
matrix_scan_size512_seed0_loads,dynamic_programming,0.8,32,4.144932935916542,1.0,22250,5368,,,,,
matrix_scan_size512_seed0_loads,,,1,,,,,1,0.6,0.00333555703802535,0.9781260966194877,34196
matrix_scan_size512_seed0_loads,,,4,,,,,1,0.0,0.0,1.0468202303455183,31952
matrix_scan_size512_seed0_loads,,,8,,,,,1,0.0,0.0,1.154334621755936,28976
matrix_scan_size512_seed0_loads,,,16,,,,,1,0.0,0.0,2.281115733478824,14663
matrix_scan_size512_seed0_loads,,,32,,,,,1,0.0,0.0,4.29757163047668,7783
matrix_scan_size512_seed0_loads,,,1,,,,,2,0.6,0.00333555703802535,0.9781260966194877,34196
matrix_scan_size512_seed0_loads,,,4,,,,,2,0.0,0.0,1.0468202303455183,31952
matrix_scan_size512_seed0_loads,,,8,,,,,2,0.0,0.0,1.154334621755936,28976
matrix_scan_size512_seed0_loads,,,16,,,,,2,0.0,0.0,2.281115733478824,14663
matrix_scan_size512_seed0_loads,,,32,,,,,2,0.0,0.0,4.29757163047668,7783
matrix_scan_size512_seed0_loads,,,1,,,,,4,0.0,0.0,0.9781260966194877,34196
matrix_scan_size512_seed0_loads,,,4,,,,,4,0.0,0.0,1.0468202303455183,31952
matrix_scan_size512_seed0_loads,,,8,,,,,4,0.0,0.0,1.154334621755936,28976
matrix_scan_size512_seed0_loads,,,16,,,,,4,0.0,0.0,2.281115733478824,14663
matrix_scan_size512_seed0_loads,,,32,,,,,4,0.0,0.0,4.29757163047668,7783
matrix_scan_size512_seed0_loads,,,1,,,,,8,0.0,0.0,0.9781260966194877,34196
matrix_scan_size512_seed0_loads,,,4,,,,,8,0.0,0.0,1.0468202303455183,31952
matrix_scan_size512_seed0_loads,,,8,,,,,8,0.0,0.0,1.154334621755936,28976
matrix_scan_size512_seed0_loads,,,16,,,,,8,0.0,0.0,2.281115733478824,14663
matrix_scan_size512_seed0_loads,,,32,,,,,8,0.0,0.0,4.29757163047668,7783
matrix_scan_size512_seed0_loads,,,1,,,,,16,0.0,0.0,0.9781260966194877,34196
matrix_scan_size512_seed0_loads,,,4,,,,,16,0.0,0.0,1.0468202303455183,31952
matrix_scan_size512_seed0_loads,,,8,,,,,16,0.0,0.0,1.154334621755936,28976
matrix_scan_size512_seed0_loads,,,16,,,,,16,0.0,0.0,2.281115733478824,14663
matrix_scan_size512_seed0_loads,,,32,,,,,16,0.0,0.0,4.29757163047668,7783
pointer_chase_size65536_seed0_loads,pointer_chasing,0.5,1,0.10992496284899626,0.10992496284899626,41868,380878,,,,,
pointer_chase_size65536_seed0_loads,pointer_chasing,0.5,4,0.44014128926453894,0.44014128926453894,41868,95124,,,,,
pointer_chase_size65536_seed0_loads,pointer_chasing,0.5,8,0.872777302953868,0.872777302953868,41868,47971,,,,,
pointer_chase_size65536_seed0_loads,pointer_chasing,0.5,16,1.2399455073150507,1.2399455073150507,41868,33766,,,,,
pointer_chase_size65536_seed0_loads,pointer_chasing,0.5,32,1.0059586737145603,1.0059586737145603,41868,41620,,,,,
pointer_chase_size65536_seed0_loads,pointer_chasing,0.7,1,0.13066645667637872,0.13066645667637872,29868,228582,,,,,
pointer_chase_size65536_seed0_loads,pointer_chasing,0.7,4,0.5217300167691448,0.5217300167691448,29868,57248,,,,,
pointer_chase_size65536_seed0_loads,pointer_chasing,0.7,8,1.023297245443333,1.023297245443333,29868,29188,,,,,
pointer_chase_size65536_seed0_loads,pointer_chasing,0.7,16,1.2872473387062018,1.2872473387062018,29868,23203,,,,,
pointer_chase_size65536_seed0_loads,pointer_chasing,0.7,32,1.0083727211343687,1.0083727211343687,29868,29620,,,,,
pointer_chase_size65536_seed0_loads,pointer_chasing,0.8,1,0.15657924085177846,0.15657924085177846,23868,152434,,,,,
pointer_chase_size65536_seed0_loads,pointer_chasing,0.8,4,0.6230227094753328,0.6230227094753328,23868,38310,,,,,
pointer_chase_size65536_seed0_loads,pointer_chasing,0.8,8,1.2058199454380114,1.2058199454380114,23868,19794,,,,,
pointer_chase_size65536_seed0_loads,pointer_chasing,0.8,16,1.3323657474600872,1.3323657474600872,23868,17914,,,,,
pointer_chase_size65536_seed0_loads,pointer_chasing,0.8,32,1.0104995766299747,1.0104995766299747,23868,23620,,,,,
pointer_chase_size65536_seed0_loads,,,1,,,,,1,0.0,1.0,0.13066645667637872,228582
pointer_chase_size65536_seed0_loads,,,4,,,,,1,0.0,1.0,0.5217300167691448,57248
pointer_chase_size65536_seed0_loads,,,8,,,,,1,0.0,1.0,1.023297245443333,29188
pointer_chase_size65536_seed0_loads,,,16,,,,,1,0.0,1.0,1.2872473387062018,23203
pointer_chase_size65536_seed0_loads,,,32,,,,,1,0.0,1.0,1.0083727211343687,29620
pointer_chase_size65536_seed0_loads,,,1,,,,,2,0.0,1.0,0.13066645667637872,228582
pointer_chase_size65536_seed0_loads,,,4,,,,,2,0.0,1.0,0.5217300167691448,57248
pointer_chase_size65536_seed0_loads,,,8,,,,,2,0.0,1.0,1.023297245443333,29188
pointer_chase_size65536_seed0_loads,,,16,,,,,2,0.0,1.0,1.2872473387062018,23203
pointer_chase_size65536_seed0_loads,,,32,,,,,2,0.0,1.0,1.0083727211343687,29620
pointer_chase_size65536_seed0_loads,,,1,,,,,4,0.0,1.0,0.13066645667637872,228582
pointer_chase_size65536_seed0_loads,,,4,,,,,4,0.0,1.0,0.5217300167691448,57248
